variables,OBS,YEAR,MONTH,U.S._STATE,POSTAL.CODE,NERC.REGION,CLIMATE.REGION,ANOMALY.LEVEL,CLIMATE.CATEGORY,OUTAGE.START.DATE,OUTAGE.START.TIME,OUTAGE.RESTORATION.DATE,OUTAGE.RESTORATION.TIME,CAUSE.CATEGORY,CAUSE.CATEGORY.DETAIL,HURRICANE.NAMES,OUTAGE.DURATION,DEMAND.LOSS.MW,CUSTOMERS.AFFECTED,RES.PRICE,COM.PRICE,IND.PRICE,TOTAL.PRICE,RES.SALES,COM.SALES,IND.SALES,TOTAL.SALES,RES.PERCEN,COM.PERCEN,IND.PERCEN,RES.CUSTOMERS,COM.CUSTOMERS,IND.CUSTOMERS,TOTAL.CUSTOMERS,RES.CUST.PCT,COM.CUST.PCT,IND.CUST.PCT,PC.REALGSP.STATE,PC.REALGSP.USA,PC.REALGSP.REL,PC.REALGSP.CHANGE,UTIL.REALGSP,TOTAL.REALGSP,UTIL.CONTRI,PI.UTIL.OFUSA,POPULATION,POPPCT_URBAN,POPPCT_UC,POPDEN_URBAN,POPDEN_UC,POPDEN_RURAL,AREAPCT_URBAN,AREAPCT_UC,PCT_LAND,PCT_WATER_TOT,PCT_WATER_INLAND,candidate_group_id,candidate_group_size,candidate_row_rank,duplicate_candidate,duplicate_excess_row,normalized_cause_category_detail,start_timestamp_local,restoration_timestamp_local,reported_duration_min,timestamp_duration_min,duration_delta_min,complete_temporal,timestamp_duration_nonnegative,reported_duration_positive,reported_duration_nonnegative,demand_loss_mw_numeric,demand_loss_known,demand_loss_positive,demand_loss_zero,customers_affected_numeric,nerc_regions,multi_nerc,source_row_primary_duration_member,source_row_known_loss_member,source_row_positive_loss_member,source_row_zero_duration_member
__MISSING__,11,2013,6,Minnesota,MN,MRO,East North Central,-0.2,normal,2013-06-21T00:00:00,03:00:00,2013-06-26T00:00:00,12:00:00,severe weather,hailstorm,__MISSING__,7740,__MISSING__,193000,12.71,10.31,7.29,10,1688619,1895099,1905375,5490631,30.7545526188156,34.5151404273935,34.7022956013617,2329734,281187,11383,2622305,88.842983558358,10.7228945526931,0.434083754559443,52479,48396,1.08436647656831,1.7,5613,284542,1.97264375733635,2.3,5420541,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,ea565ee5ec4362352ead7d97bf4de83e5b9a8372cf9a33efa04314503626536a,1,1,false,false,hailstorm,2013-06-21T03:00:00,2013-06-26T12:00:00,7740,7740,0,true,true,true,true,__MISSING__,false,false,false,193000,MRO,false,true,false,false,true
__MISSING__,12,2005,9,Minnesota,MN,MRO,East North Central,0,normal,2005-09-21T00:00:00,19:00:00,2005-09-27T00:00:00,23:00:00,severe weather,tornadoes,__MISSING__,8880,__MISSING__,200000,8.76,7.58,4.94,7.03,1720089,1884242,1928620,5535009,31.0765348349027,34.0422572031952,34.8440264505442,2211000,255645,8266,2474912,89.3365097425686,10.329458178715,0.333991673239291,52445,48090,1.09055936785194,2,3997,268496,1.48866277337465,2.1,5119598,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,9bc14fed50107ab6d26152acd5fd50e1e80846f8695ee4b2908abe9fb302a01c,1,1,false,false,tornadoes,2005-09-21T19:00:00,2005-09-27T23:00:00,8880,8880,0,true,true,true,true,__MISSING__,false,false,false,200000,MRO,false,true,false,false,true
__MISSING__,13,2011,7,Minnesota,MN,MRO,East North Central,-0.3,normal,2011-07-08T00:00:00,10:00:00,2011-07-08T00:00:00,10:00:00,intentional attack,vandalism,__MISSING__,0,0,0,11.6,9.18,6.81,9.28,2332915,2114774,2113291,6562520,35.5490726123501,32.2250294094342,32.2024313830663,2308736,276286,10673,2595696,88.9447762758042,10.6440045367408,0.411180662142254,51268,47586,1.07737569873492,1.6,4802,274182,1.75139141154416,2.2,5348119,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,ccf409349dbff227dbae6dfb3d4b2ff28fcbe180cf5e22eb061a1c75ef516bc7,1,1,false,false,vandalism,2011-07-08T10:00:00,2011-07-08T10:00:00,0,0,0,true,true,false,true,0,true,false,true,0,MRO,false,false,false,false,true
__MISSING__,14,2011,5,Minnesota,MN,MRO,East North Central,-0.4,normal,2011-05-11T00:00:00,15:55:00,2011-05-12T00:00:00,13:57:00,intentional attack,vandalism,__MISSING__,1322,0,0,11.23,8.91,6.46,8.7,1568544,1770802,1921812,5262668,29.805110259663,33.6483699902787,36.5178270793445,2308736,276286,10673,2595696,88.9447762758042,10.6440045367408,0.411180662142254,51268,47586,1.07737569873492,1.6,4802,274182,1.75139141154416,2.2,5348119,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,4dbb0c7a85ab154eb6b1ec295873385a83818a30db4b83224ce46caa76479d04,1,1,false,false,vandalism,2011-05-11T15:55:00,2011-05-12T13:57:00,1322,1322,0,true,true,true,true,0,true,false,true,0,MRO,false,true,true,false,true
__MISSING__,15,2014,6,Minnesota,MN,MRO,East North Central,0,normal,2014-06-15T00:00:00,00:00:00,2014-06-15T00:00:00,01:00:00,severe weather,thunderstorm,__MISSING__,60,__MISSING__,55951,12.73,10.53,6.97,10.02,1753319,1935822,1883117,5574073,31.4548984198808,34.7290392501139,33.783500861937,2345860,284978,9898,2640737,88.8335339717662,10.791608554733,0.374819605284434,53499,49091,1.08979242631032,1.9,5226,291955,1.79000188385196,2.2,5457125,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,cd428fb59fc417f6c1b9ccb005ba98826da371177d3f261617b33d391afd1355,1,1,false,false,thunderstorm,2014-06-15T00:00:00,2014-06-15T01:00:00,60,60,0,true,true,true,true,__MISSING__,false,false,false,55951,MRO,false,true,false,false,true
__MISSING__,16,2015,6,Tennessee,TN,SERC,Central,1,warm,2015-06-07T00:00:00,13:54:00,2015-06-07T00:00:00,14:13:00,system operability disruption,uncontrolled loss,__MISSING__,19,926,__MISSING__,10.43,10.36,6.81,9.59,3400800,2993975,1864031,8258806,41.1778651780899,36.2519109905233,22.5702238313868,2783058,476405,1245,3260708,85.3513408744358,14.6104772337787,0.038181891785465,42457,49844,0.851797608538641,1.2,1692,282752,0.598404255319149,0.4,6600299,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,b7c39d11a6b171d3a5304bea664e29a4bf3f53232d8a913bc2af67bdd6678697,1,1,false,false,uncontrolled loss,2015-06-07T13:54:00,2015-06-07T14:13:00,19,19,0,true,true,true,true,926,true,true,false,__MISSING__,SERC,false,true,true,true,true
__MISSING__,17,2012,8,Tennessee,TN,SERC,Central,0.3,normal,2012-08-13T00:00:00,13:15:00,2012-08-13T00:00:00,13:15:00,intentional attack,vandalism,__MISSING__,0,__MISSING__,__MISSING__,10,10.21,7.75,9.47,4401454,2833658,2556236,9791474,44.9519040749125,28.9400553992177,26.1067536920386,2721099,466513,1957,3189570,85.3124088827021,14.6262035321376,0.0613562329718426,41469,48156,0.861138798903563,2.5,1819,267689,0.679519890619338,0.4,6455469,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,a226e64a8f894b5c6ecd342043ae3cdc5bcd8a80cdaa98db5ad14dd018728a44,1,1,false,false,vandalism,2012-08-13T13:15:00,2012-08-13T13:15:00,0,0,0,true,true,false,true,__MISSING__,false,false,false,__MISSING__,SERC,false,false,false,false,true
__MISSING__,18,2015,6,Tennessee,TN,SERC,Central,1,warm,2015-06-07T00:00:00,13:52:00,2015-06-07T00:00:00,14:13:00,system operability disruption,uncontrolled loss,__MISSING__,21,__MISSING__,__MISSING__,10.43,10.36,6.81,9.59,3400800,2993975,1864031,8258806,41.1778651780899,36.2519109905233,22.5702238313868,2783058,476405,1245,3260708,85.3513408744358,14.6104772337787,0.038181891785465,42457,49844,0.851797608538641,1.2,1692,282752,0.598404255319149,0.4,6600299,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,1534398c93398c1aeaffd78ebc81c4c52977d6d6c32bda0cc0b1b23193ccbb07,1,1,false,false,uncontrolled loss,2015-06-07T13:52:00,2015-06-07T14:13:00,21,21,0,true,true,true,true,__MISSING__,false,false,false,__MISSING__,SERC,false,true,false,false,true
__MISSING__,19,2011,4,Tennessee,TN,SERC,Central,-0.5,cold,2011-04-19T00:00:00,22:44:00,2011-04-20T00:00:00,02:00:00,severe weather,__MISSING__,__MISSING__,196,100,64000,9.98,10.1,6.48,8.91,2789635,2193662,2295490,7278927,38.3248107859853,30.1371616997945,31.5361041538128,2708113,463992,2017,3174123,85.3184643443244,14.6179590393945,0.0635451115158423,40465,47586,0.850355146471651,2,1798,258910,0.694449808813874,0.4,6398408,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,f7963468b4b13b278dbb81d4c7550e2c7510838cf38987f859851ca8c9590442,1,1,false,false,__MISSING__,2011-04-19T22:44:00,2011-04-20T02:00:00,196,196,0,true,true,true,true,100,true,true,false,64000,SERC,false,true,true,true,true
__MISSING__,20,2008,2,Tennessee,TN,SERC,Central,-1.3,cold,2008-02-06T00:00:00,09:00:00,2008-02-06T00:00:00,23:00:00,severe weather,__MISSING__,__MISSING__,840,__MISSING__,57000,7.81,8.3,5.43,7.23,4104225,2351868,2688165,9144470,44.8820434645201,25.7190192542597,29.3966189401901,2685425,460419,2094,3147939,85.3074027165075,14.6260458033018,0.0665197133743697,41201,48401,0.851242742918535,-0.1,1764,257402,0.68530936045563,0.5,6247411,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,ac7c11ec0562e8c20cab4537d0d837711135652abc907e349791e36ad4bd598a,1,1,false,false,__MISSING__,2008-02-06T09:00:00,2008-02-06T23:00:00,840,840,0,true,true,true,true,__MISSING__,false,false,false,57000,SERC,false,true,false,false,true
__MISSING__,21,2015,1,Tennessee,TN,SERC,Central,0.6,warm,2015-01-07T00:00:00,17:00:00,2015-01-08T00:00:00,08:35:00,severe weather,winter,__MISSING__,935,__MISSING__,__MISSING__,9.96,10.1,5.94,9.18,4349520,2737860,1839206,8926587,48.7254535243985,30.6708487801665,20.6036864929452,2783058,476405,1245,3260708,85.3513408744358,14.6104772337787,0.038181891785465,42457,49844,0.851797608538641,1.2,1692,282752,0.598404255319149,0.4,6600299,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,b9b8ccc58eeda0b46f1aa68b7e6a237a76e2206f21daeba95a0fa33224d7ce6e,1,1,false,false,winter,2015-01-07T17:00:00,2015-01-08T08:35:00,935,935,0,true,true,true,true,__MISSING__,false,false,false,__MISSING__,SERC,false,true,false,false,true
__MISSING__,22,2012,7,Tennessee,TN,SERC,Central,0.1,normal,2012-07-05T00:00:00,19:00:00,2012-07-06T00:00:00,16:00:00,severe weather,wind storm,__MISSING__,1260,__MISSING__,50001,10.14,10.48,7.94,9.67,4522619,2835322,2519139,9877219,45.7883843620355,28.705671100337,25.5045372589187,2721099,466513,1957,3189570,85.3124088827021,14.6262035321376,0.0613562329718426,41469,48156,0.861138798903563,2.5,1819,267689,0.679519890619338,0.4,6455469,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,3bf18dce18e4be7d3f0538579d906fd42d84a34fdb0c265e381ed71a2620b0de,1,1,false,false,wind storm,2012-07-05T19:00:00,2012-07-06T16:00:00,1260,1260,0,true,true,true,true,__MISSING__,false,false,false,50001,SERC,false,true,false,false,true
__MISSING__,23,2015,7,Tennessee,TN,SERC,Central,1.2,warm,2015-07-30T00:00:00,13:00:00,__MISSING__,__MISSING__,intentional attack,vandalism,__MISSING__,__MISSING__,0,0,10.31,10.27,7.31,9.7,4285049,3322562,1891937,9499547,45.1079298833934,34.9760046452741,19.9160759981502,2783058,476405,1245,3260708,85.3513408744358,14.6104772337787,0.038181891785465,42457,49844,0.851797608538641,1.2,1692,282752,0.598404255319149,0.4,6600299,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,a390f812aecd12a24ac52ddbde8b77cb16fec097f1f1bfd2cf1409f7a348e10a,1,1,false,false,vandalism,2015-07-30T13:00:00,__MISSING__,__MISSING__,__MISSING__,__MISSING__,false,false,false,false,0,true,false,true,0,SERC,false,false,false,false,false
__MISSING__,24,2013,4,Tennessee,TN,SERC,Central,-0.2,normal,2013-04-21T00:00:00,02:11:00,2013-04-21T00:00:00,12:30:00,intentional attack,__MISSING__,__MISSING__,619,__MISSING__,__MISSING__,9.82,9.85,5.64,8.78,3067553,2599461,1916818,7583977,40.4478151766547,34.2756973023521,25.2745755953638,2738547,469382,1191,3209121,85.3363584607748,14.6264974115965,0.0371129664478217,41642,48396,0.860443011819159,0.4,1827,270562,0.675261123143679,0.4,6496130,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,52a9d529a74141ff1de6f1d3d30e062e3b087b11f4e672020d09cd7e1bbf164c,1,1,false,false,__MISSING__,2013-04-21T02:11:00,2013-04-21T12:30:00,619,619,0,true,true,true,true,__MISSING__,false,false,false,__MISSING__,SERC,false,true,false,false,true
__MISSING__,25,2014,1,Tennessee,TN,SERC,Central,-0.5,cold,2014-01-07T00:00:00,06:00:00,2014-01-07T00:00:00,08:30:00,severe weather,winter,__MISSING__,150,__MISSING__,__MISSING__,9.73,10.02,6.27,9.13,4795011,2841462,1912538,9549176,50.2138718565874,29.7560962328058,20.0283040128279,2756932,471794,1271,3229998,85.3539847393094,14.6066344313526,0.0393498695664827,41955,49091,0.854637306227211,0.8,1739,274775,0.632881448457829,0.4,6547779,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,d3b00e375d7ec6f7199ac276a3634917e925dc90a13d192e797a58cbf6f88a6c,2,1,true,false,winter,2014-01-07T06:00:00,2014-01-07T08:30:00,150,150,0,true,true,true,true,__MISSING__,false,false,false,__MISSING__,SERC,false,true,false,false,true
__MISSING__,26,2009,7,Tennessee,TN,SERC,Central,0.5,warm,2009-07-27T00:00:00,05:05:00,2009-07-27T00:00:00,17:47:00,equipment failure,computer hardware,__MISSING__,762,__MISSING__,__MISSING__,9.07,9.39,6.69,8.59,4082451,2700144,2167606,8950358,45.6121531675046,30.1679999839113,24.2180927288048,2693821,458054,2040,3153916,85.4119450232663,14.523341775748,0.0646814943708076,39220,46680,0.84018851756641,-4.8,1598,247321,0.64612386331933,0.5,6306019,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,02289b6887be3c70f541d6c5a99762cc5c68ac12ead29559a317fb405b677da0,1,1,false,false,computer hardware,2009-07-27T05:05:00,2009-07-27T17:47:00,762,762,0,true,true,true,true,__MISSING__,false,false,false,__MISSING__,SERC,false,true,false,false,true
__MISSING__,27,2011,6,Tennessee,TN,SERC,Central,-0.3,normal,2011-06-22T00:00:00,09:46:00,2011-06-22T00:00:00,09:46:00,severe weather,__MISSING__,__MISSING__,0,__MISSING__,106300,9.98,10.29,7.71,9.47,3715752,2636536,2311892,8664304,42.8857528544705,30.4298648800873,26.6829511060554,2708113,463992,2017,3174123,85.3184643443244,14.6179590393945,0.0635451115158423,40465,47586,0.850355146471651,2,1798,258910,0.694449808813874,0.4,6398408,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,0a5f8c24e337948df31c95c493c3db1639d017aa662008a2268de2a35c1feb50,1,1,false,false,__MISSING__,2011-06-22T09:46:00,2011-06-22T09:46:00,0,0,0,true,true,false,true,__MISSING__,false,false,false,106300,SERC,false,false,false,false,true
__MISSING__,28,2011,4,Tennessee,TN,SERC,Central,-0.5,cold,2011-04-04T00:00:00,13:00:00,2011-04-05T00:00:00,00:00:00,severe weather,__MISSING__,__MISSING__,660,300,63000,9.98,10.1,6.48,8.91,2789635,2193662,2295490,7278927,38.3248107859853,30.1371616997945,31.5361041538128,2708113,463992,2017,3174123,85.3184643443244,14.6179590393945,0.0635451115158423,40465,47586,0.850355146471651,2,1798,258910,0.694449808813874,0.4,6398408,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,4605d86c4025aa10c2928bf3d5f304461c246ff7891a4dd2ba95d3642d8caa1b,1,1,false,false,__MISSING__,2011-04-04T13:00:00,2011-04-05T00:00:00,660,660,0,true,true,true,true,300,true,true,false,63000,SERC,false,true,true,true,true
__MISSING__,29,2014,6,Tennessee,TN,SERC,Central,0,normal,2014-06-05T00:00:00,13:06:00,2014-06-05T00:00:00,13:07:00,severe weather,thunderstorm,__MISSING__,1,__MISSING__,56475,10.85,10.79,7.21,9.93,3362567,2962880,2079166,8404698,40.0081835183132,35.2526646406569,24.7381405018955,2756932,471794,1271,3229998,85.3539847393094,14.6066344313526,0.0393498695664827,41955,49091,0.854637306227211,0.8,1739,274775,0.632881448457829,0.4,6547779,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,50a2e4db36d0db23be5a9237dadb5b7e51a66489114c25fa28b26136e1935cda,1,1,false,false,thunderstorm,2014-06-05T13:06:00,2014-06-05T13:07:00,1,1,0,true,true,true,true,__MISSING__,false,false,false,56475,SERC,false,true,false,false,true
