hour_index,timestamp,mode,state_id,zero_data_center,dc_bus_api_placeholder,reference_bus,reference_generator_uid,active_power_envelope,adjustable_generator_count,fixed_generator_count,source_case_sha256,recovery_case_sha256,native_grid_demand_mw,native_reactive_demand_mvar,hvdc_dc1_flow_mw,dc_flow_reconstruction_residual_mw,evaluated,solver_success,independent_audit_passed,recovered,status,solver_error_type,solver_error_message,solver_algorithm,solver_elapsed_seconds,solver_iterations,solver_message,solver_final_feasibility_condition,solver_final_gradient_condition,solver_final_complementarity_condition,solver_final_cost_condition,solver_objective_mw2,independent_objective_mw2,objective_mismatch_mw2,squared_target_deviation_mw2,l1_target_deviation_mw,l2_target_deviation_mw,max_target_deviation_mw,total_up_redispatch_mw,total_down_redispatch_mw,reference_redispatch_mw,total_generation_mw,total_active_demand_mw,ac_losses_mw,max_active_power_bound_violation_mw,max_reactive_power_bound_violation_mvar,max_offline_pg_mw,max_offline_qg_mvar,max_offline_branch_flow_mva,max_voltage_violation_pu,max_branch_loading_fraction,max_branch_loading_violation_fraction,max_fixed_pg_deviation_mw,max_p_balance_residual_mw,max_q_balance_residual_mvar,max_source_vg_to_optimized_vm_adjustment_pu,max_output_vg_bus_vm_mismatch_pu,solver_input_case_unchanged,recovery_input_fixed_fields_preserved,solver_result_fixed_fields_preserved
6,2020-01-01T06:00:00+00:00,distributed_committable,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,16,83,46c675a8ea6b4a59551239085f0762e6f5d833b2cd02f74d75deddfa12dd898f,135920f1a98f1c5b90fd1b713ce29f8b91381e09a8da941f7171a95cd3374492,3948.505719,803.555549832,-100.000000001,0,true,true,true,true,recovered_by_local_solver,,,560,0.398813248,18,Converged,0,0.000000001,0.000000044,0.000000075,1350.779961377,1350.779961377,0,1350.779961377,110.211991999,36.752958539,12.781868465,110.211990672,0.000001328,11.719309899,4058.717708344,3948.505719,110.211989344,0,0,0,0,0,0,0.891900851,0,0,0.000000068,0.000000747,0.044067025,0,true,true,true
7,2020-01-01T07:00:00+00:00,reference_provider,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,1,97,4b108c0c24ce1a38de2e4098684890e9962ddb8b7bc1cabaa0de179108271c6a,39c18cf4c5d71629413e32ff7e7cc2bfb458da62fde5d15b617a06be4d3c1279,3986.759406,811.340510695,-100,0.000000001,true,false,false,false,not_recovered_by_local_solver,,,560,0.300506353,14,Numerically failed,0.000528726,0.392995646,2.49613149,0,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,false
7,2020-01-01T07:00:00+00:00,distributed_committable,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,15,83,4b108c0c24ce1a38de2e4098684890e9962ddb8b7bc1cabaa0de179108271c6a,87e42968bcab0d22474fde6250ddeeffba9bb6fc2496dcdaedbb3b533d03a708,3986.759406,811.340510695,-100,0.000000001,true,true,true,true,recovered_by_local_solver,,,560,0.415721893,17,Converged,0.000000004,0.000000005,0.000000033,0.00000004,702.620772147,702.620772147,0,702.620772147,91.740764011,26.506994778,8.197064748,91.740763398,0.000000613,7.336920635,4078.500168785,3986.759406,91.740762785,0,0,0,0,0,0,0.898677467,0,0,0.000004336,0.000017556,0.055499703,0,true,true,true
8,2020-01-01T08:00:00+00:00,reference_provider,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,1,97,2cdc7e74427bfdbfa1314ddb6b2451fd20e36b6ceb3e1dc080a3b11f669bb80f,c2381f5478b21dbcfabc56b305d10c20d7ab4bc1d1e42003883662eba89c666e,4002.672232,814.578910372,-100,0,true,true,true,true,recovered_by_local_solver,,,560,0.341240168,15,Converged,0.000000001,0.000000008,0.000000329,0.000000106,8011.754527069,8011.754527069,0,8011.754527069,89.508404785,89.508404785,89.508404785,89.508404785,0,89.508404785,4092.180636785,4002.672232,89.508404785,0,0,0,0,0,0,0.937418843,0,0,0.000000755,0.000002773,0.056742182,0,true,true,true
8,2020-01-01T08:00:00+00:00,distributed_committable,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,15,83,2cdc7e74427bfdbfa1314ddb6b2451fd20e36b6ceb3e1dc080a3b11f669bb80f,86ee8c24fef2721d8bfe13f89e56664a2dd5b16f5f2fc5862c821105581a2c45,4002.672232,814.578910372,-100,0,true,true,true,true,recovered_by_local_solver,,,560,0.38871479,16,Converged,0,0.000000001,0.000000031,0.000000013,517.820349629,517.820349629,0,517.820349629,85.057424662,22.755666319,6.580994127,85.057424416,0.000000246,5.813007106,4087.72965617,4002.672232,85.05742417,0,0,0,0,0,0,0.936687547,0,0,0.000000121,0.000000622,0.056710523,0,true,true,true
9,2020-01-01T09:00:00+00:00,reference_provider,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,1,97,9c4ad069b180ad84a378525c6a1e2b9d93e4ba211b7467d4114050f0808edcd2,5ad0e5c3434ffb92a0f1921c9dfcc7b9c5edf8ac841c07c1d5b268e97950fb8b,4032.336286,820.615805572,-100,0,true,true,true,true,recovered_by_local_solver,,,560,0.335925579,14,Converged,0.000000003,0.000000041,0.00000065,0.000000012,6800.769551098,6800.769551098,0,6800.769551098,82.466778469,82.466778469,82.466778469,82.466778469,0,82.466778469,4114.803064469,4032.336286,82.466778469,0,0,0,0,0,0,0.974200075,0,0,0.000002119,0.000017988,0.04849213,0,true,true,true
9,2020-01-01T09:00:00+00:00,distributed_committable,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,15,83,9c4ad069b180ad84a378525c6a1e2b9d93e4ba211b7467d4114050f0808edcd2,6a52e2887d4712062f0eebb8aad71fe854847f6de9e0b8737bed13cf8d0a7969,4032.336286,820.615805572,-100,0,true,true,true,true,recovered_by_local_solver,,,560,0.344771862,16,Converged,0.000000002,0.000000006,0.000000055,0.000000106,444.569507954,444.569507954,0,444.569507954,78.799414507,21.084817001,6.1174275,78.799414134,0.000000373,5.41472502,4111.135699762,4032.336286,78.799413762,0,0,0,0,0,0,0.97352867,0,0,0.000001417,0.000011993,0.048468844,0,true,true,true
10,2020-01-01T10:00:00+00:00,reference_provider,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,1,97,398a77eb5e8fa9416aaa198c42b46711ab89270b27ca6f33b7c01cd81f7a36be,7baaf56617d710f62479865d81053ee67df868c173c7a5097d0e5a924189bfae,4023.089346,818.733972168,-100,0.000000002,true,true,true,true,recovered_by_local_solver,,,560,0.319019079,13,Converged,0.000000002,0.000000028,0.000000645,0.000000391,5073.077773418,5073.077773418,0,5073.077773418,71.22554158,71.22554158,71.22554158,71.22554158,0,71.22554158,4094.31488758,4023.089346,71.22554158,0,0,0,0,0,0,0.986570044,0,0,0.00000055,0.000008674,0.049129341,0,true,true,true
10,2020-01-01T10:00:00+00:00,distributed_committable,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,15,83,398a77eb5e8fa9416aaa198c42b46711ab89270b27ca6f33b7c01cd81f7a36be,61c22051f7307fd28a5f366d19b3d4cbe1e54ec2c12140fcc091d8b37c8ecc85,4023.089346,818.733972168,-100,0.000000002,true,true,true,true,recovered_by_local_solver,,,560,0.384889841,15,Converged,0.000000003,0.000000012,0.000000035,0.000000025,389.824071272,389.824071272,0,389.824071272,68.321172445,19.743962907,6.116695725,68.321171799,0.000000646,5.494337026,4091.410517154,4023.089346,68.321171154,0,0,0,0,0,0,0.985836115,0,0,0.000001422,0.000014632,0.050852601,0,true,true,true
11,2020-01-01T11:00:00+00:00,reference_provider,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,1,97,93ce9866eb6e2478fc1fed773671fa5109c098fdb7c5282a81cf2f9eed0b9580,e701e5e12141cb5a4ca723d7fd5f948c952412ab9327fec9e06928cf1b992776,4014.027883,816.889884961,-100,0,true,true,true,true,recovered_by_local_solver,,,560,0.337529421,14,Converged,0.000000002,0.00000005,0.000000079,0.000000147,4159.76627163,4159.76627163,0,4159.76627163,64.496250059,64.496250059,64.496250059,64.496250059,0,64.496250059,4078.524133059,4014.027883,64.496250059,0,0,0,0,0,0,0.979093823,0,0,0.000001228,0.00001162,0.052548582,0,true,true,true
11,2020-01-01T11:00:00+00:00,distributed_committable,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,15,83,93ce9866eb6e2478fc1fed773671fa5109c098fdb7c5282a81cf2f9eed0b9580,50a0132de100d3b9e5e1d6803b12bae426082ae94dfe84e0edf8f29e8204a60c,4014.027883,816.889884961,-100,0,true,true,true,true,recovered_by_local_solver,,,560,0.377462387,16,Converged,0.000000003,0.000000012,0.00000001,0.000000028,324.797530847,324.797530847,0,324.797530847,62.372716366,18.022140019,5.561103668,62.372716182,0.000000185,5.053796037,4076.400598997,4014.027883,62.372715997,0,0,0,0,0,0,0.978440457,0,0,0.000001813,0.000016122,0.054067538,0,true,true,true
12,2020-01-01T12:00:00+00:00,reference_provider,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,1,97,e3a236daffe6d6157b8dafeac9a12d825ba3de0dc0229c3fddfd080e5e5eb3c2,6be606ea000bcd6cd3a2f811afa288d6a4cf1200f8b161b2ade8796f54242556,3980.797066,810.127122204,-100,0.000000001,true,true,true,true,recovered_by_local_solver,,,560,0.376280785,14,Converged,0.000000006,0.000000137,0.000000102,0.000000137,4024.319093984,4024.319093984,0,4024.319093984,63.437521184,63.437521184,63.437521184,63.437521184,0,63.437521184,4044.234587184,3980.797066,63.437521184,0,0,0,0,0,0,0.974315886,0,0,0.000003577,0.000031984,0.052674512,0,true,true,true
12,2020-01-01T12:00:00+00:00,distributed_committable,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,15,83,e3a236daffe6d6157b8dafeac9a12d825ba3de0dc0229c3fddfd080e5e5eb3c2,cf5ac3a8e2615daf80baa86873a7f8d19c6f6817b4b64bb71adf36d76d7be782,3980.797066,810.127122204,-100,0.000000001,true,true,true,true,recovered_by_local_solver,,,560,0.370914221,16,Converged,0,0.000000001,0.000000008,0.000000016,314.653125478,314.653125478,0,314.653125478,61.390711739,17.738464575,5.470643305,61.390711562,0.000000177,4.977371502,4042.187777385,3980.797066,61.390711385,0,0,0,0,0,0,0.97366097,0,0,0.000000116,0.000000978,0.054214018,0,true,true,true
13,2020-01-01T13:00:00+00:00,reference_provider,normal,true,120,321,321_CC_1,physical_envelope_no_response_time,1,98,2b7d7fc5704909ef0d9f6c766bbb0f1604bb6a128c9521d7f295da2a6e5aa195,767b6012e5cdc7c8a20830880c5ecdc72774caf6f0a0181f5f6503cd81ac3dd3,3958.54615,805.598865614,-100,0.000000001,true,true,true,true,recovered_by_local_solver,,,560,0.319657326,13,Converged,0.000000004,0.000000083,0.000000718,0.000000872,3493.114951808,3493.114951808,0,3493.114951808,59.102579908,59.102579908,59.102579908,59.102579908,0,59.102579908,4017.648729908,3958.54615,59.102579908,0,0,0,0,0,0,0.965872377,0,0,0.00000223,0.00002044,0.055061234,0,true,true,true
13,2020-01-01T13:00:00+00:00,distributed_committable,normal,true,120,321,321_CC_1,physical_envelope_no_response_time,16,83,2b7d7fc5704909ef0d9f6c766bbb0f1604bb6a128c9521d7f295da2a6e5aa195,8459fb2dc8d598e5393b74ef2beeb5694e84aa9bc289f7d74c7e6e0d6a84a0d2,3958.54615,805.598865614,-100,0.000000001,true,true,true,true,recovered_by_local_solver,,,560,0.363335133,16,Converged,0,0.000000001,0.000000027,0.000000036,261.542477566,261.542477566,0,261.542477566,58.262434466,16.172274966,4.792989193,58.262433828,0.000000638,4.444697172,4016.80858319,3958.54615,58.26243319,0,0,0,0,0,0,0.966674015,0,0,0.00000018,0.00000159,0.055038107,0,true,true,true
14,2020-01-01T14:00:00+00:00,reference_provider,normal,true,120,321,321_CC_1,physical_envelope_no_response_time,1,98,2ed4ab19118d34131aee46bb0cdd24d9a6ce101af21e5d86eb925471e3f14fca,c4063afb93595e491219fda5211cc9ac715cfdb27ea7f5f1206c7d1cb288be0f,3929.231137,799.633003319,-100,0,true,true,true,true,recovered_by_local_solver,,,560,0.302045345,13,Converged,0,0,0.000000144,0.000000084,3311.933563141,3311.933563141,0,3311.933563141,57.549401067,57.549401067,57.549401067,57.549401067,0,57.549401067,3986.780538067,3929.231137,57.549401067,0,0,0,0,0,0,0.968034161,0,0,0.000000002,0.000000012,0.053605743,0,true,true,true
14,2020-01-01T14:00:00+00:00,distributed_committable,normal,true,120,321,321_CC_1,physical_envelope_no_response_time,16,83,2ed4ab19118d34131aee46bb0cdd24d9a6ce101af21e5d86eb925471e3f14fca,ba8c6fc944a078379f2b22be18edf8bdb598e82e8b9be74c569ad9e7c9e5e004,3929.231137,799.633003319,-100,0,true,true,true,true,recovered_by_local_solver,,,560,0.359878302,14,Converged,0.000000003,0.000000013,0.000000156,0.000000172,319.336936253,319.336936253,0,319.336936253,59.217035007,17.870001014,5.62518183,59.217030023,0.000004984,5.57342579,3988.448162039,3929.231137,59.217025039,0,0,0,0,0,0,0.969125753,0,0,0.000002058,0.00001571,0.052900762,0,true,true,true
15,2020-01-01T15:00:00+00:00,reference_provider,normal,true,120,107,107_CC_1,physical_envelope_no_response_time,1,99,a5549ac34c4a5cc609151afbf960ff47de72a689a230a97e13f92447f24d4112,797301ca58ce453339cce07b04547487be8733aff93fe3286898edc0e8102efd,3912.80087,796.28929986,-99.999999999,0.000000001,true,false,false,false,not_recovered_by_local_solver,,,560,0.378802299,17,Numerically failed,0.000749104,0.00000919,5.143665815,0.000000127,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,false
15,2020-01-01T15:00:00+00:00,distributed_committable,normal,true,120,107,107_CC_1,physical_envelope_no_response_time,17,83,a5549ac34c4a5cc609151afbf960ff47de72a689a230a97e13f92447f24d4112,8b29f7a242531cff5bdf9e4c6aa1611c15aafd1f32e8fbd7f1909aef99708d44,3912.80087,796.28929986,-99.999999999,0.000000001,true,false,false,false,not_recovered_by_local_solver,,,560,0.638520956,27,Numerically failed,0.002242066,0.053732976,2788463621499.994140625,0,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,false
16,2020-01-01T16:00:00+00:00,reference_provider,normal,true,120,107,107_CC_1,physical_envelope_no_response_time,1,104,9a5dc70018b96513fb42543f94bcb489a666560450081f92239e7e6109dfa75e,9b1efbfc0972ff6e10811d11619eea41aa3fb0dc5b7b00adb73b93b985b1aa26,4057.433272,825.723262372,100,0.000000002,true,false,false,false,not_recovered_by_local_solver,,,560,0.411885023,12,Numerically failed,0.004988964,0.999993006,2936.952285886,0,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,false
16,2020-01-01T16:00:00+00:00,distributed_committable,normal,true,120,107,107_CC_1,physical_envelope_no_response_time,22,83,9a5dc70018b96513fb42543f94bcb489a666560450081f92239e7e6109dfa75e,ee9df0358dc29de30755f93087e14ec09c645b6d43dcfffec725222b15b8eca6,4057.433272,825.723262372,100,0.000000002,true,true,true,true,recovered_by_local_solver,,,560,0.443061352,18,Converged,0.000000003,0.000000012,0.000000005,0,739.418288545,739.418288545,0,739.418288545,89.886394326,27.192246846,9.816833872,89.886394209,0.000000117,7.471664972,4147.319666092,4057.433272,89.886394092,0,0,0,0,0,0,0.925797094,0,0,0.000002941,0.000013097,0.058037064,0,true,true,true
17,2020-01-01T17:00:00+00:00,reference_provider,normal,true,120,107,107_CC_1,physical_envelope_no_response_time,1,103,87210d2f652c72011ee4edf9d052275e880145054ab0a16b61734c9c7f2c006e,97b5036466ac882c63f9fdf3cb51dbe8567f9e12e9b8c5b9f73bdfe78f7d097b,4578.057226,931.674803888,57.313434199,0.000000001,true,false,false,false,not_recovered_by_local_solver,,,560,0.313535929,13,Numerically failed,0.0096329,0.44622649,319.380449388,0,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,false
17,2020-01-01T17:00:00+00:00,distributed_committable,normal,true,120,107,107_CC_1,physical_envelope_no_response_time,21,83,87210d2f652c72011ee4edf9d052275e880145054ab0a16b61734c9c7f2c006e,2b497a8331f8492561c886f3db93d1556c6564745f53cb62dbd00f3a209a02d2,4578.057226,931.674803888,57.313434199,0.000000001,true,true,true,true,recovered_by_local_solver,,,560,0.427845001,18,Converged,0.000000006,0.000000005,0.000000042,0.000000001,1187.173608218,1187.173608218,0,1187.173608218,113.871954118,34.455385765,12.475465174,113.871952916,0.000001202,9.328991577,4691.929177714,4578.057226,113.871951714,0,0,0,0,0,0,0.937740023,0,0,0.000001386,0.000022113,0.045077956,0,true,true,true
18,2020-01-01T18:00:00+00:00,reference_provider,normal,true,120,107,107_CC_1,physical_envelope_no_response_time,1,102,5f7b30144bf6decbb4a615ff1a9861e8af88f37041a847eac4c3fadac6f8c91e,c62eabde9067dfa4c01aa3f81f3fd09f543751486698ec9d3ad46450670874c7,4554.393766,926.859082204,-100.000000001,0.000000002,true,false,false,false,not_recovered_by_local_solver,,,560,0.367385626,15,Numerically failed,0.003734762,0.408990672,2347558.953211315,0,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,false
18,2020-01-01T18:00:00+00:00,distributed_committable,normal,true,120,107,107_CC_1,physical_envelope_no_response_time,20,83,5f7b30144bf6decbb4a615ff1a9861e8af88f37041a847eac4c3fadac6f8c91e,48599a36c7a3e1f4829fa09d3d7f3c771a0f3b0dad0abc68bfaec746a0aec8d7,4554.393766,926.859082204,-100.000000001,0.000000002,true,true,true,true,recovered_by_local_solver,,,560,0.512065887,19,Converged,0.000000004,0.000000015,0.000000008,0.000000002,1295.918935072,1295.918935072,0,1295.918935072,113.465105225,35.998874081,13.508990972,113.465105041,0.000000183,10.182673484,4667.858870858,4554.393766,113.465104858,0,0,0,0,0,0,0.935319393,0,0,0.000000889,0.000015286,0.04665158,0,true,true,true
19,2020-01-01T19:00:00+00:00,reference_provider,normal,true,120,107,107_CC_1,physical_envelope_no_response_time,1,102,4d93fa08bb179994bbfe629862df14b841119efdb6f60524f99afc0d583c19e1,f212cb46519d0bc48a1037483a94f283e5efd696a49bca5ecdb7f365f52fa003,4449.398154,905.491554147,-29.969999356,0.000000001,true,true,true,true,recovered_by_local_solver,,,560,0.323544025,14,Converged,0.000000006,0.000000078,0.000000279,0.000000177,13664.356843193,13664.356843193,0,13664.356843193,116.894639925,116.894639925,116.894639925,116.894639925,0,116.894639925,4566.292793925,4449.398154,116.894639925,0,0,0,0,0,0,0.939847695,0,0,0.000002758,0.000026088,0.046534439,0,true,true,true
