generator_uid,commitment,generation_mw,time_in_state_hours,source_scope
310_PV_2,true,0,0,optimization_derived_free_boundary_not_observed_chronology
312_PV_1,true,0,0,optimization_derived_free_boundary_not_observed_chronology
313_CC_1,false,0,5,optimization_derived_free_boundary_not_observed_chronology
313_PV_1,true,0,0,optimization_derived_free_boundary_not_observed_chronology
313_PV_2,true,0,0,optimization_derived_free_boundary_not_observed_chronology
313_RTPV_1,true,0,0,optimization_derived_free_boundary_not_observed_chronology
313_RTPV_10,true,0,0,optimization_derived_free_boundary_not_observed_chronology
313_RTPV_11,true,0,0,optimization_derived_free_boundary_not_observed_chronology
313_RTPV_12,true,0,0,optimization_derived_free_boundary_not_observed_chronology
313_RTPV_13,true,0,0,optimization_derived_free_boundary_not_observed_chronology
313_RTPV_2,true,0,0,optimization_derived_free_boundary_not_observed_chronology
313_RTPV_3,true,0,0,optimization_derived_free_boundary_not_observed_chronology
313_RTPV_4,true,0,0,optimization_derived_free_boundary_not_observed_chronology
313_RTPV_5,true,0,0,optimization_derived_free_boundary_not_observed_chronology
313_RTPV_6,true,0,0,optimization_derived_free_boundary_not_observed_chronology
313_RTPV_7,true,0,0,optimization_derived_free_boundary_not_observed_chronology
313_RTPV_8,true,0,0,optimization_derived_free_boundary_not_observed_chronology
313_RTPV_9,true,0,0,optimization_derived_free_boundary_not_observed_chronology
313_STORAGE_1,false,0,0,optimization_derived_free_boundary_not_observed_chronology
314_PV_1,true,0,0,optimization_derived_free_boundary_not_observed_chronology
314_PV_2,true,0,0,optimization_derived_free_boundary_not_observed_chronology
314_PV_3,true,0,0,optimization_derived_free_boundary_not_observed_chronology
314_PV_4,true,0,0,optimization_derived_free_boundary_not_observed_chronology
314_SYNC_COND_1,false,0,0,optimization_derived_free_boundary_not_observed_chronology
315_CT_6,false,0,3,optimization_derived_free_boundary_not_observed_chronology
315_CT_7,false,0,3,optimization_derived_free_boundary_not_observed_chronology
315_CT_8,false,0,3,optimization_derived_free_boundary_not_observed_chronology
315_STEAM_1,false,0,2,optimization_derived_free_boundary_not_observed_chronology
315_STEAM_2,false,0,2,optimization_derived_free_boundary_not_observed_chronology
315_STEAM_3,false,0,2,optimization_derived_free_boundary_not_observed_chronology
315_STEAM_4,false,0,2,optimization_derived_free_boundary_not_observed_chronology
315_STEAM_5,false,0,2,optimization_derived_free_boundary_not_observed_chronology
316_STEAM_1,true,62,8,optimization_derived_free_boundary_not_observed_chronology
317_WIND_1,true,795.1,0,optimization_derived_free_boundary_not_observed_chronology
318_CC_1,false,0,5,optimization_derived_free_boundary_not_observed_chronology
319_PV_1,true,0,0,optimization_derived_free_boundary_not_observed_chronology
320_PV_1,true,0,0,optimization_derived_free_boundary_not_observed_chronology
320_RTPV_1,true,0,0,optimization_derived_free_boundary_not_observed_chronology
320_RTPV_2,true,0,0,optimization_derived_free_boundary_not_observed_chronology
320_RTPV_3,true,0,0,optimization_derived_free_boundary_not_observed_chronology
320_RTPV_4,true,0,0,optimization_derived_free_boundary_not_observed_chronology
320_RTPV_5,true,0,0,optimization_derived_free_boundary_not_observed_chronology
320_RTPV_6,true,0,0,optimization_derived_free_boundary_not_observed_chronology
321_CC_1,false,0,5,optimization_derived_free_boundary_not_observed_chronology
322_CT_5,false,0,3,optimization_derived_free_boundary_not_observed_chronology
322_CT_6,false,0,3,optimization_derived_free_boundary_not_observed_chronology
322_HYDRO_1,true,16.5,0,optimization_derived_free_boundary_not_observed_chronology
322_HYDRO_2,true,16.5,0,optimization_derived_free_boundary_not_observed_chronology
322_HYDRO_3,true,16.5,0,optimization_derived_free_boundary_not_observed_chronology
322_HYDRO_4,true,16.5,0,optimization_derived_free_boundary_not_observed_chronology
323_CC_1,false,0,5,optimization_derived_free_boundary_not_observed_chronology
323_CC_2,false,0,5,optimization_derived_free_boundary_not_observed_chronology
324_PV_1,true,0,0,optimization_derived_free_boundary_not_observed_chronology
324_PV_2,true,0,0,optimization_derived_free_boundary_not_observed_chronology
324_PV_3,true,0,0,optimization_derived_free_boundary_not_observed_chronology
