planning_parameter_status,fixed_plan_parameter_status,service_parameter_status,quarter,layer,state,response_mode,generator_index,bus,outaged,in_service,p_min_mw,p_max_mw,layer_base_generation_mw,state_generation_mw,change_from_layer_base_mw,response_applicable,redispatch_up_limit_mw,redispatch_down_limit_mw,generator_bound_violation_mw,corrective_response_violation_mw,termination_condition,security_certified
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,18,15,False,True,2.4,12.0,2.4,2.4,0.0,False,6.0,6.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,19,15,False,True,2.4,12.0,2.4,2.4,0.0,False,6.0,6.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,20,15,False,True,54.3,155.0,132.56298507260243,132.56298507260243,0.0,False,77.5,77.5,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,21,16,False,True,54.3,155.0,132.56298847984834,132.56298847984834,0.0,False,77.5,77.5,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,22,18,False,True,100.0,400.0,400.0,400.0,0.0,False,200.0,200.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,23,21,False,True,100.0,400.0,400.0,400.0,0.0,False,200.0,200.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,24,22,False,True,10.0,50.0,50.0,50.0,0.0,False,25.0,25.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,25,22,False,True,10.0,50.0,50.0,50.0,0.0,False,25.0,25.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,26,22,False,True,10.0,50.0,50.0,50.0,0.0,False,25.0,25.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,27,22,False,True,10.0,50.0,50.0,50.0,0.0,False,25.0,25.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,28,22,False,True,10.0,50.0,50.0,50.0,0.0,False,25.0,25.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,29,22,False,True,10.0,50.0,50.0,50.0,0.0,False,25.0,25.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,30,23,False,True,54.3,155.0,132.5630013847236,132.5630013847236,0.0,False,77.5,77.5,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,31,23,False,True,54.3,155.0,132.563001384726,132.563001384726,0.0,False,77.5,77.5,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,32,23,False,True,140.0,350.0,280.9480236781005,280.9480236781005,0.0,False,175.0,175.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,0,1,False,True,16.0,20.0,16.0,16.0,0.0,True,10.0,10.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,1,1,False,True,16.0,20.0,16.0,16.0,0.0,True,10.0,10.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,2,1,False,True,15.2,76.0,15.2,15.2,0.0,True,38.0,38.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,3,1,False,True,15.2,76.0,15.2,15.2,0.0,True,38.0,38.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,4,2,False,True,16.0,20.0,16.0,16.0,0.0,True,10.0,10.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,5,2,False,True,16.0,20.0,16.0,16.0,0.0,True,10.0,10.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,6,2,False,True,15.2,76.0,15.2,15.2,0.0,True,38.0,38.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,7,2,False,True,15.2,76.0,15.2,15.2,0.0,True,38.0,38.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,8,7,False,True,25.0,100.0,25.0,25.0,0.0,True,50.0,50.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,9,7,False,True,25.0,100.0,25.0,25.0,0.0,True,50.0,50.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,10,7,False,True,25.0,100.0,25.0,25.0,0.0,True,50.0,50.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,11,13,False,True,69.0,197.0,69.0,69.0,0.0,True,98.5,98.5,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,12,13,False,True,69.0,197.0,69.0,69.0,0.0,True,98.5,98.5,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,13,13,False,True,69.0,197.0,69.0,69.0,0.0,True,98.5,98.5,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,14,14,False,True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,15,15,False,True,2.4,12.0,2.4,2.4,0.0,True,6.0,6.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,16,15,False,True,2.4,12.0,2.4,2.4,0.0,True,6.0,6.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,17,15,False,True,2.4,12.0,2.4,2.4,0.0,True,6.0,6.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,18,15,False,True,2.4,12.0,2.4,2.4,0.0,True,6.0,6.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,19,15,False,True,2.4,12.0,2.4,2.4,0.0,True,6.0,6.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,20,15,False,True,54.3,155.0,132.56298507260243,132.56298507260243,0.0,True,77.5,77.5,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,21,16,False,True,54.3,155.0,132.56298847984834,132.56298847984834,0.0,True,77.5,77.5,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,22,18,False,True,100.0,400.0,400.0,400.0,0.0,True,200.0,200.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,23,21,False,True,100.0,400.0,400.0,400.0,0.0,True,200.0,200.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,24,22,False,True,10.0,50.0,50.0,50.0,0.0,True,25.0,25.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,25,22,False,True,10.0,50.0,50.0,50.0,0.0,True,25.0,25.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,26,22,False,True,10.0,50.0,50.0,50.0,0.0,True,25.0,25.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,27,22,False,True,10.0,50.0,50.0,50.0,0.0,True,25.0,25.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,28,22,False,True,10.0,50.0,50.0,50.0,0.0,True,25.0,25.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,29,22,False,True,10.0,50.0,50.0,50.0,0.0,True,25.0,25.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,30,23,False,True,54.3,155.0,132.5630013847236,132.5630013847236,0.0,True,77.5,77.5,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,31,23,False,True,54.3,155.0,132.563001384726,132.563001384726,0.0,True,77.5,77.5,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_immediate,fixed,32,23,False,True,140.0,350.0,280.9480236781005,280.9480236781005,0.0,True,175.0,175.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,0,1,False,True,16.0,20.0,16.0,16.0,0.0,True,10.0,10.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,1,1,False,True,16.0,20.0,16.0,16.0,0.0,True,10.0,10.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,2,1,False,True,15.2,76.0,15.2,15.2,0.0,True,38.0,38.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,3,1,False,True,15.2,76.0,15.2,15.2,0.0,True,38.0,38.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,4,2,False,True,16.0,20.0,16.0,16.0,0.0,True,10.0,10.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,5,2,False,True,16.0,20.0,16.0,16.0,0.0,True,10.0,10.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,6,2,False,True,15.2,76.0,15.2,15.2,0.0,True,38.0,38.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,7,2,False,True,15.2,76.0,15.2,15.2,0.0,True,38.0,38.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,8,7,False,True,25.0,100.0,25.0,25.0,0.0,True,50.0,50.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,9,7,False,True,25.0,100.0,25.0,25.0,0.0,True,50.0,50.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,10,7,False,True,25.0,100.0,25.0,25.0,0.0,True,50.0,50.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,11,13,False,True,69.0,197.0,69.0,69.0,0.0,True,98.5,98.5,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,12,13,False,True,69.0,197.0,69.0,69.0,0.0,True,98.5,98.5,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,13,13,False,True,69.0,197.0,69.0,110.07402644755007,41.07402644755007,True,98.5,98.5,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,14,14,False,True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,15,15,False,True,2.4,12.0,2.4,2.4,0.0,True,6.0,6.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,16,15,False,True,2.4,12.0,2.4,2.4,0.0,True,6.0,6.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,17,15,False,True,2.4,12.0,2.4,2.4,0.0,True,6.0,6.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,18,15,False,True,2.4,12.0,2.4,2.4,0.0,True,6.0,6.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,19,15,False,True,2.4,12.0,2.4,2.4,0.0,True,6.0,6.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,20,15,False,True,54.3,155.0,132.56298507260243,55.06298507260243,-77.5,True,77.5,77.5,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,21,16,False,True,54.3,155.0,132.56298847984834,55.06298847984834,-77.5,True,77.5,77.5,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,22,18,False,True,100.0,400.0,400.0,400.0,0.0,True,200.0,200.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,23,21,False,True,100.0,400.0,400.0,400.0,0.0,True,200.0,200.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,24,22,False,True,10.0,50.0,50.0,50.0,0.0,True,25.0,25.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,25,22,False,True,10.0,50.0,50.0,50.0,0.0,True,25.0,25.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,26,22,False,True,10.0,50.0,50.0,50.0,0.0,True,25.0,25.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,27,22,False,True,10.0,50.0,50.0,50.0,0.0,True,25.0,25.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,28,22,False,True,10.0,50.0,50.0,50.0,0.0,True,25.0,25.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,29,22,False,True,10.0,50.0,50.0,50.0,0.0,True,25.0,25.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,30,23,False,True,54.3,155.0,132.5630013847236,155.0,22.436998615276394,True,77.5,77.5,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,31,23,False,True,54.3,155.0,132.563001384726,155.0,22.436998615274007,True,77.5,77.5,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_0_sustained,bounded,32,23,False,True,140.0,350.0,280.9480236781005,350.0,69.05197632189947,True,175.0,175.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,branch_1_immediate,fixed,0,1,False,True,16.0,20.0,16.0,16.0,0.0,True,10.0,10.0,0.0,0.0,optimal,False
